Lat,Lon,Title,Continent,Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
6.1329749,-5.9517697,Gagnoa,Africa,Ivory Coast,183,180,196,188,181,118,97,80,110,155,171,164,1823
7.6906058,-5.0298408,Bouaké,Africa,Ivory Coast,242,224,219,194,208,145,104,82,115,170,191,198,2092
5.320357,-4.016107,Abidjan,Africa,Ivory Coast,223,223,239,214,205,128,137,125,139,215,224,224,2296
9.504431,-7.561942,Odienné,Africa,Ivory Coast,242,220.2,217.3,214.7,248.8,221.8,183.5,174.5,185.4,235.8,252,242.6,2638.6
9.5939778,-5.1975952,Ferké,Africa,Ivory Coast,279,249,253,229,251,221,183,151,173,245,261,262,2757
6.3676953,2.4252507,Cotonou,Africa,Benin,213.9,210,223.2,219,213.9,141,136.4,148.8,165,207.7,243,223.2,2345.2
9.3400159,2.6278258,Parakou,Africa,Benin,261,243,252,230,239,193,133,104,129,217,252,248,2501
24.0095212,88.1164016,Kandi,Africa,Benin,279,257.6,260.4,255,272.8,252,223.2,195.3,213,275.9,282,279,3045.2
6.130419,1.215829,Lomé,Africa,Togo,217.5,214,227.9,201.9,208.6,146,141.6,148.8,152.5,205.5,234,235.6,2333.9
44.686443,8.150239,Mango,Africa,Togo,285,254,270,241,261,219,168,131,161,273,284,279,2826
5.5600141,-0.2057437,Accra,Africa,Ghana,217,226,217,210,217,150,155,155,180,217,240,248,2432
9.4051992,-0.8423986,Tamale,Africa,Ghana,265.6,235.7,249.6,229,248,212,171.5,139,161,260.9,283,263.5,2718.7
6.698081,-1.6230404,Kumasi,Africa,Ghana,186.6,187.2,205.4,204,204.7,146.3,101.2,77,106.2,161.4,193.8,178,1951.8
9.3070698,13.3934527,Garoua,Africa,Cameroon,275,252.6,260.1,245.4,256.7,224.4,194,187.2,204.5,261.5,279.2,286.5,2927.1
7.3763099,13.5960578,N'Gaoundéré,Africa,Cameroon,286.4,258.7,235.4,195.5,195.4,165.7,128,127.8,139,184,264.1,291.4,2471.4
4.0429408,9.706203,Douala,Africa,Cameroon,184,179,170,174,169,107,55,46,79,120,160,175,1618
3.8689867,11.5213344,Yaoundé,Africa,Cameroon,177,172,149,153,158,112,85,83,97,120,159,179,1644
0.390002,9.454001,Libreville,Africa,Gabon,175.2,176.8,176.9,176.8,159.5,130.6,119.2,90.4,95.9,112.9,134.6,167.8,1716.6
-0.7149116,8.7797434,Port-Gentil,Africa,Gabon,150.4,160.8,154.5,151.5,147.8,156.3,163.1,135.3,125.7,116.1,115.1,147.2,1723.8
6.4550575,3.3941795,Lagos,Africa,Nigeria,164.3,169.5,173.6,180,176.7,114,99.2,108.5,114,167.4,186,192.2,1845.4
7.7312634,8.538425,Makurdi,Africa,Nigeria,236,226,223,216,223,177,143,118,144,198,228,248,2380
9.9175125,8.8979401,Jos,Africa,Nigeria,307,274,260,220,208,201,151,127,171,242,294,313,2768
49.1828008,-0.3690815,Kano,Africa,Nigeria,275,255,267,252,273,261,233,186,237,295,297,285,3114
13.0611195,5.3152203,Sokoto,Africa,Nigeria,279,269,282,255,279,282,229,208,243,307,297,288,3238
19.619217,37.211709,Port Sudan,Africa,Sudan,214,230,282,312,338,309,307,298,300,307,249,236,3382
15.593325,32.53565,Khartoum,Africa,Sudan,341,311,310,330,300,300,279,279,300,310,330,341,3737.1
15.3389667,38.9326763,Asmara,Africa,Eritrea,304.7,289.1,300.7,300.5,298.5,271.5,217.9,220.1,260.4,301,292.5,299.1,3361
12.368148,-1.527085,Ouagadougou,Africa,Burkina Faso,287,263,264,256,277,264,240,223,217,273,288,284,3136
13.580982,-2.417699,Ouahigouya,Africa,Burkina Faso,291,267,280,268,284,272,258,253,261,280,288,280,3282
13.524834,2.109823,Niamey,Africa,Niger,297.6,263.2,269.7,252,279,267,257.3,235.6,235.6,282.6,282,279,3203.2
12.1191543,15.0502758,N'Djamena,Africa,Chad,297.6,277.2,282.1,273,285.2,258,213.9,201.5,228,285.2,300,303.8,3205.5
13.8280295,20.8283652,Abéché,Africa,Chad,316.2,291.2,300.7,300,313.1,300,254.2,226.3,261,306.9,312,319.3,3500.9
13.45535,-16.575646,Banjul,Africa,Gambia,279,282,310,300,310,270,186,186,180,248,240,279,3070
14.693425,-17.447938,Dakar,Africa,Senegal,253,249,303,301,299,259,233,204,219,254,256,249,3078
14.7948093,-16.9529272,Thiès,Africa,Senegal,267,260,325,332,324,276,226,188,221,267,271,257,3214
2.042778,45.338564,Mogadishu,Africa,Somalia,268,251,282,260,273,218,226,253,265,267,261,259,3082
3.90006,45.53233,Buloburde,Africa,Somalia,290,283,293,249,287,261,216,238,262,230,246,268,3124
11.8145966,42.8453061,Djibouti City,Africa,Djibouti,254,249,279,279,310,237,236,276,282,310,291,276,3279
14.037235,-6.0372928,Ségou,Africa,Mali,292,276,292,263,274,266,254,223,242,283,287,287,3239
16.7719091,-3.0087272,Timbuktu,Africa,Mali,283,288,297,283,306,284,294,281,279,291,287,276,3447
